date;annee;mois;Jour
43831;2020;1;01
43832;2020;1;02
43833;2020;1;03
43834;2020;1;04
43835;2020;1;05
43836;2020;1;06
43837;2020;1;07
43838;2020;1;08
43839;2020;1;09
43840;2020;1;10
43841;2020;1;11
43842;2020;1;12
43843;2020;1;13
43844;2020;1;14
43845;2020;1;15
43846;2020;1;16
43847;2020;1;17
43848;2020;1;18
43849;2020;1;19
43850;2020;1;20
43851;2020;1;21
43852;2020;1;22
43853;2020;1;23
43854;2020;1;24
43855;2020;1;25
43856;2020;1;26
43857;2020;1;27
43858;2020;1;28
43859;2020;1;29
43860;2020;1;30
43861;2020;1;31
43862;2020;2;01
43863;2020;2;02
43864;2020;2;03
43865;2020;2;04
43866;2020;2;05
43867;2020;2;06
43868;2020;2;07
43869;2020;2;08
43870;2020;2;09
43871;2020;2;10
43872;2020;2;11
43873;2020;2;12
43874;2020;2;13
43875;2020;2;14
43876;2020;2;15
43877;2020;2;16
43878;2020;2;17
43879;2020;2;18
43880;2020;2;19
43881;2020;2;20
43882;2020;2;21
43883;2020;2;22
43884;2020;2;23
43885;2020;2;24
43886;2020;2;25
43887;2020;2;26
43888;2020;2;27
43889;2020;2;28
43890;2020;2;29
43891;2020;3;01
43892;2020;3;02
43893;2020;3;03
43894;2020;3;04
43895;2020;3;05
43896;2020;3;06
43897;2020;3;07
43898;2020;3;08
43899;2020;3;09
43900;2020;3;10
43901;2020;3;11
43902;2020;3;12
43903;2020;3;13
43904;2020;3;14
43905;2020;3;15
43906;2020;3;16
43907;2020;3;17
43908;2020;3;18
43909;2020;3;19
43910;2020;3;20
43911;2020;3;21
43912;2020;3;22
43913;2020;3;23
43914;2020;3;24
43915;2020;3;25
43916;2020;3;26
43917;2020;3;27
43918;2020;3;28
43919;2020;3;29
43920;2020;3;30
43921;2020;3;31
43922;2020;4;01
43923;2020;4;02
43924;2020;4;03
43925;2020;4;04
43926;2020;4;05
43927;2020;4;06
43928;2020;4;07
43929;2020;4;08
43930;2020;4;09
43931;2020;4;10
43932;2020;4;11
43933;2020;4;12
43934;2020;4;13
43935;2020;4;14
43936;2020;4;15
43937;2020;4;16
43938;2020;4;17
43939;2020;4;18
43940;2020;4;19
43941;2020;4;20
43942;2020;4;21
43943;2020;4;22
43944;2020;4;23
43945;2020;4;24
43946;2020;4;25
43947;2020;4;26
43948;2020;4;27
43949;2020;4;28
43950;2020;4;29
43951;2020;4;30
43952;2020;5;01
43953;2020;5;02
43954;2020;5;03
43955;2020;5;04
43956;2020;5;05
43957;2020;5;06
43958;2020;5;07
43959;2020;5;08
43960;2020;5;09
43961;2020;5;10
43962;2020;5;11
43963;2020;5;12
43964;2020;5;13
43965;2020;5;14
43966;2020;5;15
43967;2020;5;16
43968;2020;5;17
43969;2020;5;18
43970;2020;5;19
43971;2020;5;20
43972;2020;5;21
43973;2020;5;22
43974;2020;5;23
43975;2020;5;24
43976;2020;5;25
43977;2020;5;26
43978;2020;5;27
43979;2020;5;28
43980;2020;5;29
43981;2020;5;30
43982;2020;5;31
43983;2020;6;01
43984;2020;6;02
43985;2020;6;03
43986;2020;6;04
43987;2020;6;05
43988;2020;6;06
43989;2020;6;07
43990;2020;6;08
43991;2020;6;09
43992;2020;6;10
43993;2020;6;11
43994;2020;6;12
43995;2020;6;13
43996;2020;6;14
43997;2020;6;15
43998;2020;6;16
43999;2020;6;17
44000;2020;6;18
44001;2020;6;19
44002;2020;6;20
44003;2020;6;21
44004;2020;6;22
44005;2020;6;23
44006;2020;6;24
44007;2020;6;25
44008;2020;6;26
44009;2020;6;27
44010;2020;6;28
44011;2020;6;29
44012;2020;6;30
44013;2020;7;01
44014;2020;7;02
44015;2020;7;03
44016;2020;7;04
44017;2020;7;05
44018;2020;7;06
44019;2020;7;07
44020;2020;7;08
44021;2020;7;09
44022;2020;7;10
44023;2020;7;11
44024;2020;7;12
44025;2020;7;13
44026;2020;7;14
44027;2020;7;15
44028;2020;7;16
44029;2020;7;17
44030;2020;7;18
44031;2020;7;19
44032;2020;7;20
44033;2020;7;21
44034;2020;7;22
44035;2020;7;23
44036;2020;7;24
44037;2020;7;25
44038;2020;7;26
44039;2020;7;27
44040;2020;7;28
44041;2020;7;29
44042;2020;7;30
44043;2020;7;31
44044;2020;8;01
44045;2020;8;02
44046;2020;8;03
44047;2020;8;04
44048;2020;8;05
44049;2020;8;06
44050;2020;8;07
44051;2020;8;08
44052;2020;8;09
44053;2020;8;10
44054;2020;8;11
44055;2020;8;12
44056;2020;8;13
44057;2020;8;14
44058;2020;8;15
44059;2020;8;16
44060;2020;8;17
44061;2020;8;18
44062;2020;8;19
44063;2020;8;20
44064;2020;8;21
44065;2020;8;22
44066;2020;8;23
44067;2020;8;24
44068;2020;8;25
44069;2020;8;26
44070;2020;8;27
44071;2020;8;28
44072;2020;8;29
44073;2020;8;30
44074;2020;8;31
44075;2020;9;01
44076;2020;9;02
44077;2020;9;03
44078;2020;9;04
44079;2020;9;05
44080;2020;9;06
44081;2020;9;07
44082;2020;9;08
44083;2020;9;09
44084;2020;9;10
44085;2020;9;11
44086;2020;9;12
44087;2020;9;13
44088;2020;9;14
44089;2020;9;15
44090;2020;9;16
44091;2020;9;17
44092;2020;9;18
44093;2020;9;19
44094;2020;9;20
44095;2020;9;21
44096;2020;9;22
44097;2020;9;23
44098;2020;9;24
44099;2020;9;25
44100;2020;9;26
44101;2020;9;27
44102;2020;9;28
44103;2020;9;29
44104;2020;9;30
44105;2020;10;01
44106;2020;10;02
44107;2020;10;03
44108;2020;10;04
44109;2020;10;05
44110;2020;10;06
44111;2020;10;07
44112;2020;10;08
44113;2020;10;09
44114;2020;10;10
44115;2020;10;11
44116;2020;10;12
44117;2020;10;13
44118;2020;10;14
44119;2020;10;15
44120;2020;10;16
44121;2020;10;17
44122;2020;10;18
44123;2020;10;19
44124;2020;10;20
44125;2020;10;21
44126;2020;10;22
44127;2020;10;23
44128;2020;10;24
44129;2020;10;25
44130;2020;10;26
44131;2020;10;27
44132;2020;10;28
44133;2020;10;29
44134;2020;10;30
44135;2020;10;31
44136;2020;11;01
44137;2020;11;02
44138;2020;11;03
44139;2020;11;04
44140;2020;11;05
44141;2020;11;06
44142;2020;11;07
44143;2020;11;08
44144;2020;11;09
44145;2020;11;10
44146;2020;11;11
44147;2020;11;12
44148;2020;11;13
