ean;libelle_produit;prix
5,02677E+12;500g penne rigate panzani;1,24
1,0026E+12;500g spaghetti panzani;0,84
2,11394E+12;1kg coquillettes panzani;1,73
2,59795E+12;1kg spaghetti panzani;1,53
8,04646E+12;panzani farfalle 500g;1,22
4,75174E+12;1kg farfalle panzani;1,92
5,51911E+11;400g tagliatelles pates fraich;2,07
6,86582E+12;400g fettucine pates fraiches;2,07
3,93009E+12;250g mini gnocchi gd mere;1,13
9,79343E+12;250g mini coquillettes gd mere;1,17
6,86752E+12;250g mini pate avions gd mere;1,18
6,2938E+12;nids 2mm grand mere 250g;1,15
6,41279E+12;nids 4mm grand mere 250g;1,18
4,1751E+12;spaghettis grand mere 250 g;1,14
2,48096E+12;250g macaronis longs gd mere;1,15
6,3802E+12;macaroni coupe gd mere 250g;1,15
6,68677E+12;250g coquilles cellos gr mere;1,18
1,10315E+12;coquillettes grand mere 250g;1,17
4,07614E+12;250g torsades cellos gr.mere;1,14
8,28699E+12;papillons grand mere 250g;1,18
8,34349E+11;250g tagliatelles grand mere;1,18
1,82173E+12;spirales grand mere 250g;1,17
1,16227E+12;250g pennes grand mere;1,17
7,50084E+12;500g parpadelles grand mere;2,37
1,77969E+12;250g pepinettes cellos gr mere;2,12
8,85564E+12;500g nids tricolores gd mere;2,54
5,21649E+12;500g knepfle grand mere;2,19
2,82765E+12;spaetzle grand mere 250g;1,14
3,55016E+12;400g crozets chanterelle;3,42
3,11614E+12;350g pates a poeler cornette;1,48
2,62371E+12;350g pate poeler tressine alpi;1,55
7,85469E+12;500g nouilles gourm. savoisien;1,63
3,45055E+12;400g taillerin cepe&bol cx sav;3,22
9,72898E+11;400g taillerins trompet.chant.;3,19
7,79355E+12;500g avoines cx savoie;1,6
9,39915E+11;500g pates p. gourmandes perle;1,59
4,53805E+12;400g crozet blancs cx savoiee;3,46
4,09588E+11;400g crozets sarrasin alpina;3,36
6,35107E+12;tagliatelles spiruline;3,99
1,1224E+12;gouttes de mer;3,99
5,60105E+12;linguine  n›7 500g de cecco;2,02
8,35414E+11;500g spaghetti n›12 de cecco;1,82
7,09218E+12;500g fusilli de cecco;1,93
8,85956E+12;penne rigate  n41 500g de cec;1,81
7,4838E+12;cavatappi 500g  de cecco;2
2,10656E+12;500g orecchiette n›91 dececco;2,27
7,85389E+12;funghini 500g  de cecco;2,03
9,54842E+12;500g conchiglioni rigati cecco;2,44
9,33111E+12;500g calamarata de cecco;2,38
6,29303E+11;strangozzi 500g  de cecco;2,38
5,34886E+12;250g pate chicche de cecco;2,01
8,79494E+12;500g capellini rummo;2,05
3,91328E+12;500g linguine rum.lenta lavora;2,05
1,67394E+12;500g fusilli rum.lenta lavoraz;2,12
6,39423E+12;500g penne rigate rum.lent lav;2,02
7,13306E+11;500g tripoline rummo;2,59
4,19916E+12;500g farfalle rummo;2,09
3,54715E+12;500g fusillotti rummo;2,75
4,75671E+12;500g spaghetti bio rummo;3,11
6,22677E+12;500g penne rigate bio rummo;3,11
6,84759E+12;400g linguine rummo s/s gluten;2,89
6,28829E+12;400g stelline rummo s/s gluten;2,89
9,1069E+12;400g fusilli rummo sans gluten;2,89
6,04169E+12;1kg spaghetti barilla;1,57
6,18546E+11;1kg penne barilla;1,65
5,24853E+12;500g capellini barilla;1,07
4,41504E+12;500g spaghettini n›3 barilla;1,3
7,25939E+12;500g spaghetti  n›5 barilla;0,87
2,81672E+12;500g lasagne collezione barill;1,74
7,55513E+12;500g pq. penn rigat barilla;1,05
4,57205E+12;500g tortiglioni barilla;1,46
8,55453E+12;500g pq. pipe rigat barilla;1,14
6,72711E+12;500g farfallin bte cart barill;1,25
5,47277E+12;500g pates vermicelle barilla;1,27
2,69923E+12;500g macaroni barilla;1,09
3,71534E+12;500g pq. farfall barilla;1,03
3,80471E+12;250g cannelloni barilla;1,39
6,99257E+12;500g coquillett barilla;0,96
4,53107E+12;500g spaghettoni barilla;0,93
2,85209E+12;250g tortel.jamb./from.barilla;2,35
5,13885E+12;250g tortel.from.barilla;2,36
4,44579E+12;500g girandol torsad barilla;0,95
8,15922E+12;500g gnochetti barilla la clze;1,41
6,11197E+12;1kg coquillettes barilla;1,77
6,05671E+12;500g mini farfal poccol barill;1,2
7,11205E+12;500g mn pen rigat picco barill;1,15
3,53426E+12;500g pates linguin barilla;1,38
2,18745E+12;500g mini pipe rigate barilla;1,17
9,08289E+12;500g castellan collez barilla;1,38
9,45441E+12;500g tagliatelle la collezione;1,74
8,18082E+11;500g spaghetti ble cpl barilla;1,32
2,49999E+12;500g cellentani barilla;1,38
3,44456E+12;500g trofie barilla;1,38
4,17123E+12;500g mafalde barilla la colzne;1,62
7,32223E+12;1kg spaghettoni barilla;1,8
1,29505E+12;400g spaghetti sans gluten;2,33
1,09761E+12;400g penne sans gluten;2,33
6,05725E+12;400g coquilette sans gluten;2,3
4,28957E+12;250g garganelli la clze barill;1,64
8,54506E+12;500g linguine a.barilla;2,59
8,34097E+12;500g fusilli a.barilla;2,59
3,51109E+12;500g orecchiette a.barilla;2,59
1,63823E+12;100g landleben pois d'or;0,83
2,41527E+12;200g landleben pois d'or;1,38
1,72453E+12;175g landleben crepes d'or;1,21
5,36893E+12;500g semoule ble dur moyenne;1,38
2,35398E+12;5x90g riz 5 min lustucru;2,16
1,53769E+12;5x90g riz basmati sct cuis lus;2,69
7,5481E+12;5x90g riz thai sch cuiss lust.;2,49
2,41714E+12;450g riz complet lustucru;2,08
3,86259E+12;400g riz a poeler lustucru;2,16
4,28062E+11;5x90g riz basmati sachet cuiss;2,53
4,75546E+12;500g risotto taureau aile;2,43
9,07413E+12;500g riz basmati himalaya ta;2,7
8,97822E+12;500g riz 2 basmati ta;2,86
3,13684E+11;500g riz parfume taureau aile;2,25
1,55345E+12;500g riz basmati taureau aile;2,39
3,3216E+12;1kg riz basmati taureau aile;3,63
7,44293E+12;500g riz basmati imperial ta;2,9
7,58027E+12;450g riz basmati t.a chanderna;2,8
4,90662E+12;450g riz thai bangkok;2,8
5,37509E+12;pq 500g lentil.verte du puy;4,13
3,10864E+11;500g lentilles vertes ch. roug;1,67
8,92216E+12;360g lentille verte 8 min saba;3,16
5,50572E+11;1kg graine couscous moyen;2,26
4,07355E+12;bte 500g couscous moyen tipiak;1,68
5,98686E+12;500g graine couscous fine;1,25
8,06591E+12;bt 500g polenta precuit.tipiak;1,51
9,88629E+12;5x100g couscous scht cuis tip;1,75
7,57817E+12;500g couscous parfume epices;3,17
7,75005E+12;400g cereales mediterranenne;3,26
1,34372E+12;225g  mogette de vendee gillet;2,37
3,19063E+12;500g semoule moyenne alpina;1,89
3,65654E+12;1kg polenta tradition grosse;2,5
8,84741E+12;1kg polenta tradition moyenne;2,22
7,88666E+12;1kg polenta tradition fine;2,48
8,53644E+12;500g polenta express moyenne;1,74
8,99314E+12;500g ebly tendrissimo 10mn;1,94
8,5924E+12;lt3x130g riz basmati ub expr.;4,03
1,67794E+12;250g riz complet ub;1,95
7,99726E+12;250g riz express paella u.ben;1,71
2,88187E+12;250g riz mediter.2mm pochon ub;1,6
5,05105E+12;250g riz cantonnais uncle ben;1,62
9,28949E+12;250g riz basmati l.g pochon 2';1,33
9,36064E+12;250g riz tomates/h.oliv ub;1,82
3,64265E+12;330g meli melo gourmand tipiak;3,35
1,04686E+12;350g prep.taboule citron/menth;2,77
9,42772E+12;400g quinoa gourmand tipiak;3,74
2,23978E+12;250g sachet haricot de soisson;6,05
3,08884E+12;500g sachet haricot de soisson;10,57
7,98587E+12;220g melange 5 cereales ub;2,34
4,53218E+12;200g riz ble quinoa ub;2,34
9,96598E+12;250g riz champignon express ub;1,89
5,63758E+12;250g riz express basmati curry;2,05
4,40254E+12;250g riz express citron/romari;2,03
2,90941E+12;220g ble nat/h.oli2mmpoc.ebly;1,77
9,77846E+12;220g ebly expr.tom/bas 2'pch;2,03
8,15513E+12;500g riz basmati supremeveete;2,05
4,1539E+12;280g riz basmati veetee;1,99
1,78584E+12;300g riz thai citron vert veet;1,99
6,2095E+12;280g dine-in golden vegetale;2,01
5,15672E+12;280g riz complet & quinoa veet;2,01
3,01333E+12;500g etu riz u.ben's 10mn;1,78
1,65541E+12;1kg riz 10mn long vrac u.ben's;2,88
4,09985E+12;4x125g riz st cuisson 10mn u/b;1,81
8,64775E+12;5x200g riz lg uncle bens scht;3,04
7,5853E+12;500g riz jasmin sachet cuisson;2,65
9,89896E+12;et 1kg riz uncle ben's 20 mn;3,7
2,68911E+12;500g riz basmati scht cuisson;2,62
4,1527E+12;375g polenta  de cecco;2,38
9,76642E+12;500g riz risotto carnaroli;3,39
7,59197E+12;210g risotto pronto cepes;3,45
5,39863E+11;20ml vanille natur.vahine;2,46
6,44198E+12;21g nappage pour tarte vahine;1,43
9,34556E+12;200ml arome fleur oranger vahi;2,25
2,40481E+12;20ml arome amande amere vahine;1,59
1,20712E+12;20ml arome citron vahine;1,58
8,07034E+12;20ml arome orange vahine;1,58
2,42447E+12;20ml extrait cafe vahine;1,54
7,83282E+12;7g vanille poudre sucree vahin;3,81
4,90192E+11;700g napp.caramel nature vahin;4,85
7,66618E+12;200ml arom.vanil.artific.vahin;4,07
5,26745E+11;100g pralin vahine;2,49
9,53724E+12;65g vermicelles choco. vahine;2,09
8,31431E+12;80g perles multicolores vahine;2,09
5,66546E+12;65g vermic.arc en ciel vahine;2,15
7,26277E+12;125g amandes decortiquees vahi;4,27
9,03688E+12;125g amandes emondees vahine;4,27
5,22721E+12;125g amandes effilees vahine;4,16
2,11699E+12;125g amande poudre vahine;3,49
2,81014E+12;125g noiset.decortiquees vahin;3,92
1,40724E+12;125g noix coco rapee vahine;1,88
6,61243E+12;125g raisins blonds vahine;1,79
8,23571E+12;3x6ml colorant patissier vahin;2,15
9,713E+12;bougies anniversaire vahine;2,07
6,89398E+12;bougies magiques vahine;2,02
5,00922E+12;plaquet.joyeux anniversai.vahi;2,03
9,15231E+12;19,5g fixe chantilly vahine;0,97
2,21932E+12;100g pepites de chocolat vahin;2,77
9,39735E+12;17g scht gelatine 9 feuilles;1,94
1,25106E+12;50g amandes en batonnets;2,9
7,41169E+12;100g citrons confits;3,95
2,78787E+12;26g alphabet chiffres chocolat;3,49
4,63661E+12;20g coeurs & etoiles en choco;3,49
5,26575E+12;20g colorants gel;4,27
5,92682E+11;poudre irisee or;5,23
9,51286E+12;98g multi-deco adventure;5,23
7,74033E+12;125g fondant blanc;3,66
7,65271E+12;sirop de glucose;4,32
6,26441E+12;70g pepites caramel fudge;3,82
9,4114E+12;4g vanil madagascar poudre;4,32
5,06547E+12;100g amandes poudre brute vahi;3,8
9,79963E+12;250g raisins secs vahine;1,83
7,91174E+12;100g noisettes brutes poudre;3,8
3,23087E+12;50g pignons de pin vahine;3,92
1,72207E+12;25gcray patissi ros paillet va;2,08
4,85262E+12;50g cerneaux noix vahine;1,87
5,57015E+12;165g nappage framboise vahine;2,47
8,29638E+12;210g napp.caram.naturel vahine;1,75
5,50107E+12;caramel gout vanillenapp.210 g;1,99
6,1457E+12;bougie musicale vahine;4,55
7,95044E+12;120g glacage chocolat vahine;2,29
3,22835E+12;bougie & chif plastique vahine;4,29
4,77441E+12;bougie chif adulte 0 vahine;1,42
7,22214E+12;bougie chif adulte 1 vahine;1,42
5,69093E+12;bougie chif adulte 2 vahine;1,42
5,63347E+12;bougie chif adulte 3 vahine;1,44
2,90074E+12;bougie chif adulte 4 vahine;1,42
5,96404E+12;bougie chif adulte 5 vahine;1,42
1,24285E+12;bougie chif adulte 6 vahine;1,42
2,77086E+12;bougie chif adulte 7 vahine;1,42
6,61874E+12;bougie chiffre adulte 8 vahine;1,42
5,70952E+12;bougie chiffre adulte 9 vahine;1,42
8,59463E+12;50g cerneaux noix pecan vahine;2,09
8,94104E+12;125g pepit.fr secs caram vahin;2,92
7,56218E+12;150g fruits conf.ass.vahine;3,26
6,33509E+12;150g bigarreaux confits vahine;3,85
7,6555E+12;150g macedoine vahine;3,08
5,54813E+12;200g prep.creme frangipane vah;3,45
2,50776E+12;35g cannelle ceylan poudre vah;2,35
7,52134E+11;pruneaux agen 250g vahine;2,79
3,82849E+11;18g 3sachets gelatine poudre;1,74
6,54307E+12;100g godet ecorces orange conf;3,76
8,41051E+12;50ml fl.arome naturel vanille;4,49
9,43973E+12;200g prep.crem.amandine vahine;2,77
3,22819E+12;350g sweety napp.chocolat vahi;3,05
36979363873;3g vanille st 2 gousses vahine;4,45
1,95125E+12;90g pepites nougatine vahine;2,81
2,31215E+11;125g amandin;3,85
3,79081E+11;100g amandes effilees grillees;4,37
7,37595E+12;100g ti coco vahine;2,29
8,29477E+12;10 bougies effilees design;2,19
4,29592E+12;12 bougies paillettes princess;2,17
7,73734E+12;55g coeurs en sucre vahine;2,08
2,7238E+11;52g etoiles en sucre vahine;2,15
5,41708E+12;90g billes 3 chocos vahine;3,14
2,94284E+12;30g mini marshmallow vahine;3,18
6,37761E+12;23gr cray patissier choc noise;2,4
2,06085E+12;45g pignons pin grilles vahine;4,15
5,98773E+12;50g eclats pistache torrefiees;4,05
7,75939E+12;200g amande poudre vahine;4,21
5,68977E+12;200g noix de coco rapee vahine;2,97
7,54802E+12;3g vanille intense vahine bio;3,38
4,23033E+11;8g agar vahine;3,26
2,77081E+12;165g nappage fr.rouges vahine;2,71
9,51563E+12;190g nappage caramel sel vahin;2,86
6,44782E+12;190g nappage chocolat vahine;2,85
7,81291E+12;125g noisette.grill.poudre vah;4,35
1,26436E+12;100g pepit.chocolat lait vahin;3,11
7,16215E+12;100g pepites chunk choco.nr.va;2,97
8,11519E+12;200g pepites choc.noir vahine;4,6
8,47239E+12;82g duc sucre dore vahine;3,05
1,28285E+12;120g glacage blanc  vahine;2,75
5,85996E+12;20ml arome pistache vahine;2,19
7,38387E+12;100g pep.chunks 3 choc vahine;2,88
9,1183E+12;100g pralines roses vahine;3,08
2,92285E+12;120g  sucre chouquettes vahine;2,14
6,30965E+12;20ml arome nx coco  vahine;2,11
6,8511E+12;20ml arome fraise vahine;2,28
3,57643E+12;165g nap mang passion vahine;2,67
4,22919E+12;150g pate amande tricolore40%;2,72
3,04339E+12;250g pate a sucre vahine;3,99
4,99293E+12;250g pate a sucre roug/nr/ vte;3,83
3,18388E+12;125g cranberries vahine;3,71
1,97887E+12;3gvanille papouasi 1gous vahin;3,76
9,55294E+12;6g vanille fagot 4 gousses;7,27
5,28634E+12;50g perles argentees vahine;3,4
3,18841E+12;55g perles ivoires vahine;3,34
2,92586E+12;55g perles bleues vahine;3,26
6,33506E+12;20g coeurs en sucre vahine;3,14
8,8771E+12;20g roses en sucre vahine;3,09
7,40761E+12;140g top cupcake vanill vahine;3,86
3,98392E+12;140g topp cupcake choc vahine;3,77
4,04841E+11;300g top dessert fraise vahine;3,63
4,02073E+12;300g top dessert caram lt vahi;3,63
6,77306E+12;300g prepa base cupcake vahine;2,7
9,0721E+12;250g pate a sucre rose/bleu va;3,68
2,67083E+12;25g crayon patiss blanc vahine;2,39
5,3489E+12;146g multideco vahine;5,25
6,30027E+12;138g multi deco fantasy vahine;5,88
3,73803E+12;160g puree anc 2 from mousline;3
5,47032E+12;375g mousl.s.anc.presse puree;3,18
8,72685E+12;500g puree sav ancien mousline;3,5
1,99686E+12;estofinade aveyronnaise 90g;5,6
6,18133E+11;la truffade auvergnate 125g;6,8
2,91475E+12;270g aligot marie de livinhac;7,51
2,88185E+12;mousline tendresse lait 3x125g;2,51
6,06752E+12;3x75g ecrase de pdt sav ancien;2,59
7,26645E+12;mousline nature maggi 4x130g;2,34
9,80572E+12;8x130g puree nature mousline;4,26
4,29392E+12;4x31,25g puree nature mousline;0,85
2,09028E+12;125g puree nature mousline;1,1
6,05037E+12;4x31,25g puree lait mouslinel.;1,43
5,79042E+12;125g puree sav.anc.mousline;1,63
7,9466E+12;6x25g lay's multipacks sel;1,99
5,35727E+12;lay's nature 300g;2,69
2,12909E+12;lays multipack nature 6x27,5g;2,61
22991666371;lays multipack chips a.6x27,5g;2,33
3,91001E+12;lays a l ancienne moutarde 120;1,74
6,39368E+12;130g lay's barbecue;1,3
4,80924E+12;130g lay's degustation salt;2,16
2,2357E+12;120g lay's deep ridged nat.;1,65
7,24416E+12;120g lay's  deep ridg amer.ba;1,65
2,79539E+12;lays multipack paysanne nature;2,61
4,51257E+12;lay's barbecue 240g;2,31
9,17298E+12;lay's bolognaise 130g;1,48
1,70431E+12;lays spicy 130g;1,59
9,05335E+12;lay's poulet thym 130g;1,52
5,16779E+12;lays fromage 130g;1,59
9,70113E+12;lay's paprika 130g;1,56
8,79628E+12;lay's jambon braise 130g;1,55
8,79132E+12;lay's sel & vinaigre 220g;2,65
8,4085E+12;lay's deep ridged sour cream &;1,65
4,57053E+12;lay's saveur ch'ti sauce pom'f;1,64
4,07165E+12;lay's cheese max 130g;1,55
2,93478E+12;lay's edition limitee 1  120g;1,64
8,15922E+12;lay's edit.limit.sav.piment ba;1,64
8,13483E+12;lay's nature 150g;1,56
1,78699E+12;lay's a l'ancienne nature 150g;1,56
3,16622E+12;lay's a l'ancienne nature 300g;2,69
7,74744E+12;lay's paysannes nature 150g;1,56
5,21192E+12;lay's paysannes nature 300g;2,79
1,38124E+12;lays edition limite saison hiv;1,64
6,0389E+12;chips l'ondulee 125g;1,8
2,74269E+12;chips l'authentiques 125g;1,8
7,61996E+12;chips sans sel 125g;1,8
8,90289E+11;chips l'original 180g;2,4
2,40737E+12;chips l'original 125g;1,8
7,05581E+12;la blue chips 125g;2,1
5,17672E+12;150g chips melange 3 legumes;3,49
9,65952E+11;150g chips salees tyrrells;2,7
1,56081E+12;150g chips vinaigre cidre;2,74
8,11628E+12;150g tyrrells chips piment dx;2,57
8,83311E+12;150g chips sce worcest&tomate;2,73
7,06079E+11;ty 125g leg swanky stripe;3,92
3,00794E+12;150g chips red white blue tyr.;3,53
7,75282E+12;ty 150g pdt aberdeen mtrde c12;2,44
4,34084E+12;125g chips sel bio go pure;3,14
8,06858E+12;125g chips poivre noir bio go;3,14
4,64403E+12;125g chips creme oignon bio go;3,14
9,55907E+12;400gspe lentil aux legumes bio;3,11
