PMUN;PCAP;PTOT
779;19;798
256;1;257
14134;380;14514
1751;25;1776
112;6;118
2800;115;2915
762;15;777
326;9;335
1105;17;1122
368;11;379
329;4;333
143;4;147
3349;93;3442
650;17;667
460;9;469
457;16;473
27;4;31
1457;28;1485
1249;18;1267
76;0;76
3251;65;3316
4065;106;4171
973;68;1041
2563;52;2615
617;17;634
685;8;693
829;15;844
3652;234;3886
3376;29;3405
16378;350;16728
9182;400;9582
310;8;318
1326;19;1345
308;4;312
754;21;775
443;8;451
486;10;496
748;21;769
291;14;305
4754;113;4867
632;16;648
283;4;287
895;8;903
1182;32;1214
3283;73;3356
365;4;369
91;1;92
328;6;334
41111;1742;42853
1457;32;1489
349;5;354
519;16;535
828;21;849
493;21;514
1144;35;1179
934;22;956
533;7;540
1070;20;1090
1812;64;1876
89;1;90
255;13;268
775;15;790
1503;39;1542
4808;117;4925
3194;62;3256
1000;25;1025
2589;35;2624
1382;31;1413
125;3;128
196;3;199
1557;33;1590
811;31;842
643;14;657
735;21;756
628;14;642
927;17;944
895;18;913
400;5;405
282;10;292
903;27;930
2253;50;2303
356;6;362
1604;58;1662
4931;203;5134
761;12;773
853;12;865
1034;30;1064
1159;36;1195
1566;57;1623
131;4;135
152;7;159
961;15;976
2149;47;2196
461;10;471
1829;53;1882
179;7;186
133;4;137
1176;24;1200
2226;46;2272
156;2;158
132;1;133
450;12;462
817;12;829
667;12;679
1333;30;1363
498;12;510
151;2;153
1278;32;1310
116;1;117
1162;35;1197
689;8;697
612;13;625
508;8;516
305;1;306
291;6;297
2363;44;2407
394;6;400
1758;45;1803
2171;64;2235
893;20;913
3004;64;3068
444;5;449
767;19;786
453;15;468
4777;57;4834
9951;239;10190
1179;22;1201
436;3;439
492;3;495
1879;46;1925
1076;28;1104
214;5;219
1146;27;1173
748;20;768
2115;74;2189
143;4;147
815;12;827
2250;42;2292
1048;17;1065
3365;71;3436
10026;163;10189
65;3;68
2038;35;2073
1594;33;1627
2423;61;2484
634;24;658
641;22;663
1053;28;1081
844;42;886
13121;270;13391
178;2;180
784;23;807
183;6;189
1881;52;1933
839;21;860
1241;50;1291
1479;29;1508
763;26;789
4844;176;5020
618;21;639
663;20;683
1115;26;1141
87;3;90
154;4;158
2277;61;2338
222;7;229
6346;93;6439
1783;54;1837
1226;13;1239
351;13;364
268;3;271
2137;46;2183
214;5;219
7161;147;7308
1313;42;1355
735;15;750
277;6;283
317;12;329
131;4;135
778;16;794
228;4;232
1395;35;1430
718;9;727
1341;29;1370
158;6;164
140;3;143
894;21;915
164;3;167
3225;31;3256
372;8;380
643;14;657
660;14;674
1235;24;1259
312;7;319
1948;48;1996
2276;47;2323
130;3;133
169;3;172
1159;87;1246
1011;29;1040
1667;65;1732
2670;56;2726
620;14;634
627;16;643
1356;34;1390
135;2;137
1253;35;1288
7923;139;8062
943;21;964
2217;36;2253
312;14;326
2197;54;2251
10122;151;10273
1974;252;2226
786;22;808
2116;51;2167
647;12;659
351;10;361
1190;32;1222
702;16;718
302;5;307
668;23;691
6886;83;6969
3772;87;3859
1016;20;1036
3456;71;3527
2576;42;2618
1025;23;1048
246;3;249
3454;135;3589
1500;20;1520
1800;27;1827
645;15;660
2569;50;2619
1624;27;1651
117;2;119
80;6;86
138;1;139
4483;170;4653
258;6;264
22456;479;22935
694;13;707
1229;30;1259
951;38;989
2717;55;2772
6520;291;6811
1273;32;1305
842;7;849
148;4;152
886;16;902
686;13;699
420;8;428
867;15;882
150;2;152
584;8;592
2547;61;2608
163;5;168
1699;36;1735
2924;53;2977
2213;43;2256
1641;64;1705
836;21;857
807;14;821
85;0;85
251;4;255
44;0;44
8711;239;8950
1729;33;1762
330;6;336
726;17;743
466;9;475
3791;91;3882
888;29;917
4984;140;5124
989;14;1003
1032;18;1050
597;4;601
153;6;159
182;6;188
187;0;187
779;23;802
3369;59;3428
658;9;667
402;6;408
1174;22;1196
1311;27;1338
1227;37;1264
1463;43;1506
554;11;565
1793;41;1834
5943;166;6109
2266;34;2300
858;19;877
2035;63;2098
2938;65;3003
503;5;508
2542;40;2582
1571;26;1597
583;6;589
1700;28;1728
13943;200;14143
486;7;493
208;5;213
502;7;509
429;3;432
246;3;249
1895;48;1943
1577;48;1625
786;15;801
1772;70;1842
756;7;763
1162;20;1182
1082;18;1100
746;4;750
838;15;853
942;25;967
1688;28;1716
1242;29;1271
444;5;449
1023;30;1053
1871;45;1916
782;20;802
3962;39;4001
2645;54;2699
760;11;771
632;13;645
921;18;939
279;2;281
1562;21;1583
2188;33;2221
985;23;1008
1127;66;1193
256;3;259
1102;9;1111
1834;43;1877
1246;21;1267
271;8;279
656;27;683
544;5;549
977;13;990
978;19;997
1421;17;1438
2107;51;2158
139;3;142
2167;71;2238
652;20;672
1295;41;1336
135;2;137
1280;29;1309
174;1;175
1002;18;1020
661;12;673
300;7;307
273;6;279
595;12;607
499;6;505
1014;11;1025
1087;27;1114
6021;176;6197
1690;8;1698
729;16;745
1355;36;1391
1124;21;1145
1776;43;1819
288;7;295
2538;59;2597
6920;164;7084
126;1;127
707;13;720
619;12;631
1227;30;1257
323;2;325
313;4;317
472;10;482
2157;69;2226
481;11;492
223;5;228
99;4;103
734;18;752
4978;95;5073
1196;17;1213
615;21;636
1548;37;1585
1342;32;1374
389;8;397
759;14;773
3717;67;3784
6595;150;6745
1132;24;1156
710;23;733
1112;21;1133
71;2;73
3181;59;3240
502;11;513
610;8;618
1021;24;1045
182;5;187
380;8;388
262;9;271
122;1;123
294;4;298
534;6;540
173;4;177
1138;54;1192
71;0;71
386;9;395
729;23;752
72;1;73
216;9;225
323;4;327
2574;53;2627
362;5;367
455;8;463
84;3;87
403;6;409
102;3;105
51;0;51
367;2;369
214;7;221
2606;60;2666
354;12;366
257;4;261
661;6;667
253;4;257
104;2;106
121;4;125
280;9;289
72;1;73
1386;30;1416
59;0;59
173;3;176
180;3;183
807;15;822
384;2;386
65;1;66
25;0;25
557;9;566
108;5;113
133;4;137
739;13;752
323;2;325
391;6;397
135;6;141
571;6;577
461;4;465
88;2;90
179;1;180
1406;18;1424
856;10;866
2714;28;2742
257;7;264
246;7;253
137;4;141
378;8;386
3832;53;3885
600;13;613
196;2;198
210;5;215
88;4;92
105;2;107
445;12;457
658;15;673
186;2;188
670;4;674
