id_mutation;Date_mutation;Nature_mutation;valeur_fonciere;id_bien_immo
1;02/01/2020;Vente;165000;1
2;02/01/2020;Vente;355680;2
3;02/01/2020;Vente;229500;3
4;02/01/2020;Vente;125000;4
5;02/01/2020;Vente;90000;5
6;02/01/2020;Vente;93000;6
7;02/01/2020;Vente;298100;7
8;02/01/2020;Vente;163500;8
9;02/01/2020;Vente;53000;9
10;02/01/2020;Vente;136000;10
11;02/01/2020;Vente;125900;11
12;02/01/2020;Vente;234000;12
13;02/01/2020;Vente;46210;13
14;02/01/2020;Vente;129000;14
15;02/01/2020;Vente;122500;15
16;02/01/2020;Vente;86025;16
17;02/01/2020;Vente;79000;17
18;02/01/2020;Vente;81795;18
19;02/01/2020;Vente;156000;19
20;02/01/2020;Vente;139900;20
21;02/01/2020;Vente;163870;21
22;02/01/2020;Vente;108100;22
23;02/01/2020;Vente;205000;23
24;02/01/2020;Vente;94000;24
25;02/01/2020;Vente;149500;25
26;02/01/2020;Vente;111500;26
27;02/01/2020;Vente;140000;27
28;02/01/2020;Vente;122850;28
29;02/01/2020;Vente;135850;29
30;02/01/2020;Vente;135500;30
31;02/01/2020;Vente;71250;31
32;02/01/2020;Vente;107000;32
33;02/01/2020;Vente;148400;33
34;02/01/2020;Vente;132000;34
35;02/01/2020;Vente;107194;35
36;02/01/2020;Vente;57200;36
37;02/01/2020;Vente;124770;37
38;02/01/2020;Vente;67000;38
39;02/01/2020;Vente;150830;39
40;02/01/2020;Vente;68900;40
41;02/01/2020;Vente;120000;41
42;02/01/2020;Vente;135460;42
43;02/01/2020;Vente;62000;43
44;02/01/2020;Vente;281000;44
45;02/01/2020;Vente;357000;45
46;02/01/2020;Vente;374000;46
47;02/01/2020;Vente;1147650;47
48;02/01/2020;Vente;145000;48
49;02/01/2020;Vente;324120;49
50;02/01/2020;Vente;408220;50
51;02/01/2020;Vente;582670;51
52;02/01/2020;Vente;80000;52
53;02/01/2020;Vente;840250;53
54;02/01/2020;Vente;266000;54
55;02/01/2020;Vente;473000;55
56;02/01/2020;Vente;207200;56
57;02/01/2020;Vente;49000;57
58;02/01/2020;Vente;101250;58
59;02/01/2020;Vente;35000;59
60;02/01/2020;Vente;132000;60
61;02/01/2020;Vente;472950;61
62;02/01/2020;Vente;478161;62
63;02/01/2020;Vente;153700;63
64;02/01/2020;Vente;155800;64
65;02/01/2020;Vente;624000;65
66;02/01/2020;Vente;135700;66
67;02/01/2020;Vente;196000;67
68;02/01/2020;Vente;172850;68
69;02/01/2020;Vente;120500;69
70;02/01/2020;Vente;224000;70
71;02/01/2020;Vente;367000;71
72;02/01/2020;Vente;132840;72
73;02/01/2020;Vente;78500;73
74;02/01/2020;Vente;72000;74
75;02/01/2020;Vente;107100;75
76;02/01/2020;Vente;134000;76
77;02/01/2020;Vente;68181;77
78;02/01/2020;Vente;275900;78
79;02/01/2020;Vente;160000;79
80;02/01/2020;Vente;267740;80
81;02/01/2020;Vente;395300;81
82;02/01/2020;Vente;269000;82
83;02/01/2020;Vente;406400;83
84;02/01/2020;Vente;326500;84
85;02/01/2020;Vente;275050;85
86;02/01/2020;Vente;138000;86
87;02/01/2020;Vente;65000;87
88;02/01/2020;Vente;185750;88
89;02/01/2020;Vente;235000;89
90;02/01/2020;Vente;176000;90
91;02/01/2020;Vente;140000;91
92;02/01/2020;Vente;170950;92
93;02/01/2020;Vente;265000;93
94;02/01/2020;Vente;112000;94
95;03/01/2020;Vente;102000;95
96;03/01/2020;Vente;142000;96
97;03/01/2020;Vente;164000;97
98;03/01/2020;Vente;33880;98
99;03/01/2020;Vente;71000;99
100;03/01/2020;Vente;43000;100
101;03/01/2020;Vente;181875;101
102;03/01/2020;Vente;240250;102
103;03/01/2020;Vente;616900;103
104;03/01/2020;Vente;212550;104
105;03/01/2020;Vente;317800;105
106;03/01/2020;Vente;420000;106
107;03/01/2020;Vente;44000;107
108;03/01/2020;Vente;237720;108
109;03/01/2020;Vente;146000;109
110;03/01/2020;Vente;69350;110
111;03/01/2020;Vente;121000;111
112;03/01/2020;Vente;70000;112
113;03/01/2020;Vente;145000;113
114;03/01/2020;Vente;43000;114
115;03/01/2020;Vente;210800;115
116;03/01/2020;Vente;210000;116
117;03/01/2020;Vente;96000;117
118;03/01/2020;Vente;135000;118
119;03/01/2020;Vente;37000;119
120;03/01/2020;Vente;190000;120
121;03/01/2020;Vente;39450;121
122;03/01/2020;Vente;28500;122
123;03/01/2020;Vente;158800;123
124;03/01/2020;Vente;268800;124
125;03/01/2020;Vente;96450;125
126;03/01/2020;Vente;28000;126
127;03/01/2020;Vente;73470;127
128;03/01/2020;Vente;49500;128
129;03/01/2020;Vente;67000;129
130;03/01/2020;Vente;176000;130
131;03/01/2020;Vente;278300;131
132;03/01/2020;Vente;296651;132
133;03/01/2020;Vente;159500;133
134;03/01/2020;Vente;98545;134
135;03/01/2020;Vente;98200;135
136;03/01/2020;Vente;110500;136
137;03/01/2020;Vente;44500;137
138;03/01/2020;Vente;332000;138
139;03/01/2020;Vente;221060;139
140;03/01/2020;Vente;174845;140
141;03/01/2020;Vente;42000;141
142;03/01/2020;Vente;445000;142
143;03/01/2020;Vente;232750;143
144;03/01/2020;Vente;257800;144
145;03/01/2020;Vente;125000;145
146;03/01/2020;Vente;104792,58;146
147;03/01/2020;Vente;146000;147
148;03/01/2020;Vente;174000;148
149;03/01/2020;Vente;110000;149
150;03/01/2020;Vente;370700;150
151;03/01/2020;Vente;62800;151
152;03/01/2020;Vente;251105;152
153;03/01/2020;Vente;342700;153
154;03/01/2020;Vente;65000;154
155;03/01/2020;Vente;133000;155
156;03/01/2020;Vente;66370;156
157;03/01/2020;Vente;594700;157
158;03/01/2020;Vente;71000;158
159;03/01/2020;Vente;140000;159
160;03/01/2020;Vente;112000;160
161;03/01/2020;Vente;121000;161
162;03/01/2020;Vente;109950;162
163;03/01/2020;Vente;314500;163
164;03/01/2020;Vente;167600;164
165;03/01/2020;Vente;157080;165
166;03/01/2020;Vente;164720;166
167;03/01/2020;Vente;273080;167
168;03/01/2020;Vente;118650;168
169;03/01/2020;Vente;157000;169
170;03/01/2020;Vente;63885;170
171;03/01/2020;Vente;255000;171
172;03/01/2020;Vente;445000;172
173;03/01/2020;Vente;852000;173
174;03/01/2020;Vente;335000;174
175;03/01/2020;Vente;278500;175
176;03/01/2020;Vente;497270;176
177;03/01/2020;Vente;1469500;177
178;03/01/2020;Vente;270000;178
179;03/01/2020;Vente;434000;179
180;03/01/2020;Vente;352000;180
181;03/01/2020;Vente;512000;181
182;03/01/2020;Vente;246150;182
183;03/01/2020;Vente;573721;183
184;03/01/2020;Vente;917350;184
185;03/01/2020;Vente;625500;185
186;03/01/2020;Vente;673315;186
187;03/01/2020;Vente;707350;187
188;03/01/2020;Vente;461200;188
189;03/01/2020;Vente;502700;189
190;03/01/2020;Vente;276000;190
191;03/01/2020;Vente;638000;191
192;03/01/2020;Vente;196500;192
193;03/01/2020;Vente;34500;193
194;03/01/2020;Vente;116000;194
195;03/01/2020;Vente;93200;195
196;03/01/2020;Vente;142000;196
197;03/01/2020;Vente;98000;197
198;03/01/2020;Vente;172500;198
199;03/01/2020;Vente;141000;199
200;03/01/2020;Vente;440000;200
201;03/01/2020;Vente;131600;201
202;03/01/2020;Vente;205000;202
203;03/01/2020;Vente;93800;203
204;03/01/2020;Vente;135450;204
205;03/01/2020;Vente;102000;205
206;03/01/2020;Vente;185000;206
207;03/01/2020;Vente;196100;207
208;03/01/2020;Vente;212231;208
209;03/01/2020;Vente;113000;209
210;03/01/2020;Vente;331000;210
211;03/01/2020;Vente;93000;211
212;03/01/2020;Vente;596370;212
213;03/01/2020;Vente;97000;213
214;03/01/2020;Vente;305000;214
215;03/01/2020;Vente;99840;215
216;03/01/2020;Vente;150020;216
217;03/01/2020;Vente;300000;217
218;03/01/2020;Vente;121000;218
219;03/01/2020;Vente;148570;219
220;03/01/2020;Vente;105840;220
221;03/01/2020;Vente;138000;221
222;03/01/2020;Vente;33000;222
223;03/01/2020;Vente;40000;223
224;03/01/2020;Vente;56650;224
225;03/01/2020;Vente;160000;225
226;03/01/2020;Vente;360000;226
227;03/01/2020;Vente;171000;227
228;03/01/2020;Vente;213500;228
229;03/01/2020;Vente;157500;229
230;03/01/2020;Vente;255680;230
231;03/01/2020;Vente;244000;231
232;03/01/2020;Vente;435000;232
233;03/01/2020;Vente;254000;233
234;03/01/2020;Vente;284984;234
235;03/01/2020;Vente;302000;235
236;03/01/2020;Vente;548000;236
237;03/01/2020;Vente;877100;237
238;03/01/2020;Vente;213615;238
239;03/01/2020;Vente;300800;239
240;03/01/2020;Vente;857950;240
241;03/01/2020;Vente;380000;241
242;03/01/2020;Vente;318700;242
243;03/01/2020;Vente;256760;243
244;03/01/2020;Vente;291262;244
245;03/01/2020;Vente;161320;245
246;03/01/2020;Vente;164000;246
247;03/01/2020;Vente;662300;247
248;03/01/2020;Vente;227600;248
249;03/01/2020;Vente;312450;249
250;03/01/2020;Vente;348450;250
251;03/01/2020;Vente;298333;251
252;03/01/2020;Vente;326200;252
253;03/01/2020;Vente;349000;253
