Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
hominino Orrorin tugenencin,6.04112375,Africa,oriental,Kenya,forest,144.5141,110.24323,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.09977516737860637,0.5959691093350171,6041123.75,Kenya,1.4419683,38.4313975
hominino Ardipithecus ramidus / kabadda,4.38390951,Africa,oriental,Ethiopia,mixed,293.96021,107.69018,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.20295548431191335,0.5821674551691535,4383909.51,Ethiopia,10.2116702,38.6521203
Australopithecus Afarensis,3.74941258,Africa,oriental,Kenya,mixed,264.79849,123.76644,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.1828217015595864,0.6690748721020405,3749412.58,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,4.59560572,Africa,oriental,Kenya,forest-gallery,403.28047,111.40831,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.2784321833978348,0.6022674706031335,4595605.72,Kenya,1.4419683,38.4313975
Australopithecus Africanus,3.61405951,Africa,south,South Africa,forest-gallery,679.15233,111.59004,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.4688991413385995,0.6032498934352607,3614059.5100000002,South Africa,-28.8166236,24.991639
Homo Rodhesiensis,0.67944746,Africa,oriental,Ethiopia,savannah,1155.28124,144.77589,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7976272148556017,0.7826508549911356,679447.46,Ethiopia,10.2116702,38.6521203
Australopithecus Afarensis,3.78897752,Africa,oriental,Kenya,mixed,305.31366,138.47796,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.21079411302755174,0.7486045762967043,3788977.52,Kenya,1.4419683,38.4313975
hominino Sahelanthropus tchadensis,7.55196675,Africa,central,Republic of Chad,mixed,258.04823,91.23118,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.1781611990802497,0.49319096590495964,7551966.75,Republic of Chad,15.6134137,19.0156172
"Homo Neanderthalensis
",0.54732593,Europa,central,Germany,cold forest,1156.08025,158.10385,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.7981788659158593,0.8547011065163561,547325.9299999999,Germany,51.1638175,10.4478313
Australopithecus Anamensis,4.1809143,Africa,oriental,Kenya,forest-gallery,460.06068,117.35674,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.3176342747961303,0.6344243706598689,4180914.3000000003,Kenya,1.4419683,38.4313975
Australopithecus Anamensis,4.05812009,Africa,oriental,Kenya,forest-gallery,361.84781,127.55925,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.24982632011915898,0.6895786036924243,4058120.09,Kenya,1.4419683,38.4313975
Paranthropus Aethiopicus,2.83307459,Africa,oriental,Kenya,forest-savanna,486.44422,112.40066,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3358499514639445,0.6076320625662736,2833074.59,Kenya,1.4419683,38.4313975
Homo Erectus,1.90240596,Asia ,west,Indonesia,savannah,1105.33236,163.81038,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7631415981415653,0.8855503078822229,1902405.96,Indonesia,-2.4833826,117.8902853
Homo Naledi,0.56750766,Africa,south,South Africa,jungle,213.13723,133.15602,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.14715382649763947,0.7198344482649477,567507.6599999999,South Africa,-28.8166236,24.991639
Homo Floresiensis,0.12840038,Asia ,oriental,Indonesia,peninsular,254.05276,103.04389,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.17540265380330994,0.557049855539569,128400.38,Indonesia,-2.4833826,117.8902853
Australopithecus Anamensis,4.76575794,Africa,oriental,Kenya,forest-gallery,200.4168,122.90488,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.1383714098865417,0.6644173240073532,4765757.94,Kenya,1.4419683,38.4313975
Paranthropus Boisei,2.17379087,Africa,oriental,Ethiopia,forest,490.06908,103.81584,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.33835262084516066,0.5612229766822565,2173790.87,Ethiopia,10.2116702,38.6521203
